Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
15,0,80951.45673,10042.43985,0,0,0,0,0,32446.2673,306685.0895,259633.7509,47585.78985,76872.83012,0,0,0,0,61385.91877,0,24730.31098,106223.8588,0,0,0,407922.535,763841.6781,182556.9411,34304.16437,0,205669.2834,927366.1811,336011.6724,284316.5852,579406.6261,180189.9951,5547.703158,0,42280.63669,9769.483665,51915.92151,0
16,0,139665.9918,13954.57108,0,0,0,0,0,39546.51669,509402.4436,262704.1945,37582.18773,121470.1959,0,0,0,0,77528.96665,0,26912.95778,124323.5808,0,0,0,415435.1607,718298.5366,201404.0975,27047.9771,0,181721.1123,932101.5699,353850.4453,326123.422,641422.8804,191193.7205,6654.832619,0,51532.95106,6289.955239,41796.86979,0
17,0,110050.2667,15429.01254,0,0,0,0,0,33309.39168,751893.7545,276272.8315,38001.81374,120523.1282,0,0,0,0,87502.64587,0,61678.82996,120239.1658,0,0,0,437582.8627,826653.2358,216550.2265,22822.63958,0,210638.0124,1032362.874,428452.3221,340232.9159,611135.1962,218642.1163,8737.481776,0,43405.37156,3715.564273,44846.25427,0
18,0,112583.7889,10999.67412,0,0,0,0,0,32045.74554,470325.3068,253554.9534,39293.89955,118359.4043,0,0,0,0,75199.9399,0,36963.5648,112709.8097,0,0,0,414286.7019,855767.1197,213866.2293,21657.23674,0,226683.3472,1116774.713,435843.0432,323940.5383,561842.256,200814.6096,10170.11935,0,41758.71796,2950.448077,39183.68599,0
19,0,95653.22405,10209.83056,0,0,0,0,0,38846.60493,570731.6298,334861.6232,28899.85406,104130.3392,0,0,0,0,97903.9472,0,55897.22329,90723.12774,0,0,0,414820.309,829503.5672,199294.8128,18979.4178,0,213564.0975,1019594.469,356534.882,301736.5185,499137.144,256513.9928,10486.58558,0,50620.89807,5382.817474,35901.12511,0
20,0,89641.69293,9427.003377,0,0,0,0,0,48807.58095,452740.1433,424630.5399,32844.53973,148962.2169,0,0,0,0,106426.1133,0,34999.5839,81459.7746,0,0,0,429895.7114,804020.0209,193911.7736,16762.94595,0,190027.0625,1020801.628,373422.374,374910.27,497133.7409,307812.4866,5554.735741,0,63601.017,10131.53865,30853.6601,0
21,0,67080.90165,10533.58623,0,0,0,0,0,53778.05592,364866.5375,363158.5756,39729.62631,160423.2389,0,0,0,0,106848.4808,0,35547.25171,62750.64781,0,0,0,339826.4509,757848.2625,151876.5267,15995.70569,0,221901.1335,927302.0132,372008.985,298705.9617,383163.3694,283250.6979,4125.112127,0,70078.0285,13685.07832,35360.39708,0
22,0,45467.78804,9814.908779,0,0,0,0,0,64302.76632,427120.4659,401849.5705,37069.98237,147224.423,0,0,0,0,71136.15354,0,25141.56337,60769.08005,0,0,0,398991.638,748243.5582,144171.5692,12559.67286,0,240381.1956,698791.1818,392732.6753,282013.3219,363114.2982,242343.9496,4836.407643,0,83792.74805,14516.20454,35243.80888,0
23,0,56532.00469,11310.39937,0,0,0,0,0,67509.94426,344861.5817,428344.9155,46613.7066,170235.6615,0,0,0,0,120285.1736,0,17339.80474,85818.82273,0,0,0,375396.577,745755.1578,158832.2517,11147.54961,0,254301.6591,598364.4448,417779.7319,337956.738,417322.4946,407157.1608,8123.637765,0,87972.01231,18916.87285,56115.10686,0
24,0,79150.23098,14585.04265,0,0,0,0,0,69546.59738,325692.0065,429453.5199,38182.94726,181389.0117,0,0,0,0,144481.7298,0,28299.17922,75290.5538,0,0,0,321441.08,758829.787,137277.0265,8892.966479,0,207985.6838,529617.5888,398896.4545,319408.2458,479873.1902,367896.1409,5497.470424,0,90625.96908,24931.78632,49718.83698,0
25,0,103839.3085,41844.66879,0,0,0,0,0,65780.69159,335284.8266,355881.0433,32505.41752,179326.5088,0,0,0,0,143689.7906,0,38429.02756,168103.4988,0,0,0,314492.152,805454.7111,132580.0314,9914.950559,0,205123.7761,497978.8152,391402.4858,337170.2579,561023.0467,406078.9629,9170.487944,0,85718.62818,3638.552577,53386.33994,0
26,0,104782.1999,41882.75769,0,0,0,0,0,77258.64376,378698.5126,329983.5635,25705.86622,164421.969,0,0,0,0,147220.6132,0,47474.57387,222828.6469,0,0,0,237950.6329,812441.6823,115632.5352,11247.84246,0,213879.9703,437802.3813,397801.8298,315215.0226,498791.211,395283.0684,6333.34312,0,100675.5143,13638.07118,67353.80734,0
