ID,Country,Name,Type,Electric_capacity,Thermal capacity,zone_el,Latitude,Longitude,demand_price
Electric heat pump399DK,DK,Name228,Electric heat pump,0,1,DK1,56.38873127,8.990190966,24.78434656
Electric heat pump400DK,DK,Name229,Electric heat pump,0,0.3,DK1,56.4105387,9.36200286,18.37050919
Electric heat pump401DK,DK,Name230,Electric heat pump,0,1.6,DK1,57.16773648,10.14873595,26.19774517
Electric heat pump402DK,DK,Name231,Electric heat pump,0,0.5,DK1,54.94270524,8.869034003,22.87266366
Electric heat pump403DK,DK,Name232,Electric heat pump,0,0.3,DK1,55.71002857,10.01397426,18.78084117
Electric heat pump404DK,DK,Name233,Electric heat pump,0,2.9,DK1,56.51176606,9.336545498,22.6845392
Electric heat pump405DK,DK,Name234,Electric heat pump,0,0.2,DK1,56.79533638,8.855946772,23.51691544
Electric heat pump406DK,DK,Name235,Electric heat pump,0,0.3,DK1,54.93241564,8.868020474,20.90047174
Electric heat pump407DK,DK,Name236,Electric heat pump,0,1.2,DK1,57.34197039,10.23820463,17.45175969
Electric heat pump408DK,DK,Name237,Electric heat pump,0,1.2,DK1,54.83330189,9.354286927,21.57483826
Electric heat pump409DK,DK,Name238,Electric heat pump,0,0.9,DK1,56.75750716,9.756700622,17.45107497
Electric heat pump410DK,DK,Name239,Electric heat pump,0,5.6,DK1,57.33176984,10.51344621,20.40374784
Electric heat pump411DK,DK,Name240,Electric heat pump,0,3.3,DK1,55.94155765,8.782608392,22.10234855
Electric heat pump412DK,DK,Name241,Electric heat pump,0,0.9,DK2,55.40420318,11.35695708,25.79382666
Electric heat pump413DK,DK,Name242,Electric heat pump,0,1.8,DK1,55.15734161,8.767702507,19.31830449
Electric heat pump414DK,DK,Name243,Electric heat pump,0,1,DK1,56.09099986,8.909966921,21.73443271
Electric heat pump415DK,DK,Name244,Electric heat pump,0,0.8,DK1,56.37405901,8.117731192,17.45092404
Electric heat pump416DK,DK,Name245,Electric heat pump,0,1,DK1,55.78037933,8.293393429,23.31581631
Electric heat pump417DK,DK,Name246,Electric heat pump,0,1.2,DK1,56.76276568,8.317893834,23.86844578
Electric heat pump418DK,DK,Name247,Electric heat pump,0,0.8,DK2,55.8437,12.0606,21.39286684
Electric heat pump419DK,DK,Name248,Electric heat pump,0,2,DK1,56.0719,9.6939,23.17115967
Electric heat pump420DK,DK,Name249,Electric heat pump,0,3.3,DK1,55.0915,10.693,21.53779085
Electric heat pump421DK,DK,Name250,Electric heat pump,0,1.7,DK1,55.469,9.173,22.32788791
Electric heat pump422DK,DK,Name251,Electric heat pump,0,7.4,DK1,55.9355,8.5,25.52816125
Electric heat pump423DK,DK,Name252,Electric heat pump,0,1.5,DK1,54.8534,10.5054,24.97211974
Electric heat pump424DK,DK,Name253,Electric heat pump,0,0.8,DK2,55.9658,11.884,23.69428889
Electric heat pump425DK,DK,Name254,Electric heat pump,0,6.7,DK1,55.9764,9.6226,24.76862829
Electric heat pump426DK,DK,Name255,Electric heat pump,0,34.4,DK1,56.3768,9.6553,26.90519019
