ID,country,name,capacity_el,storage_capacity,zone_el,charge_bid_price,discharge_bid_price
S342DE,DE,Speicher Kieswerk,2.265679087,4.531358174,DELU,82.7161786,117.07524
S343DE,DE,Solar Zerbst PV  BESS,9.666897439,35.04250322,DELU,59.8093437,94.16840514
S344DE,DE,067TreuenbrietzenSpeicher,1.359407452,2.700689472,DELU,70.46070101,104.8197624
S345DE,DE,Speicher Beilrode BA,8.627705964,17.26749555,DELU,86.01977269,120.3788341
S346DE,DE,Solarpark Beilrode,4.108431411,8.216862823,DELU,66.17268019,100.5317416
S347DE,DE,Batterie,4.02988787,0,DELU,80.3127813,114.6718427
S348DE,DE,Nossen solarplusstorage,1.419825561,2.839651123,DELU,80.71829357,115.077355
S349DE,DE,Solar carport JTSpeicher,0.120836218,0.241672436,DELU,70.61471818,104.9737796
S350DE,DE,AgriPhotovoltaik Krauscha BA Inno,0.302090545,0,DELU,64.56169242,98.92075386
S351DE,DE,Solarpark,3.987595193,8.035608496,DELU,66.32241185,100.6814733
S352DE,DE,Crinitz 11 solarplusstorage,0.906271635,1.81254327,DELU,86.7299998,121.0890612
S353DE,DE,Speicher Gro Lubolz II,2.718814905,5.437629809,DELU,62.42699674,96.78605818
S354DE,DE,Frankfurt Oder West 11 Speicher,2.900069232,5.800138463,DELU,78.80915303,113.1682145
S355DE,DE,Dolgelin 11 Solarplusstorage,2.295888142,4.591776283,DELU,79.59283867,113.9519001
S356DE,DE,Speicher Letschin,2.114633815,0,DELU,79.03785103,113.3969125
S357DE,DE,ABO Wind Batterie Weilerswist,0.827728093,0,DELU,85.88695939,120.2460208
S358DE,DE,Euskirchen Solarstorage,2.114633815,0,DELU,73.07087908,107.4299405
S359DE,DE,Speicher Junkerath,4.017804248,0,DELU,61.92516877,96.28423021
S360DE,DE,Erweiterung PV,0.501470305,0,DELU,79.19018185,113.5492433
S361DE,DE,Speicher BAB60,2.114633815,0,DELU,74.36083526,108.7198967
S362DE,DE,SP Wellingen Bat1,0.241672436,0.543762981,DELU,63.44082602,97.79988745
S363DE,DE,ABO Wind Batterie Zerf,1.087525962,0,DELU,77.23387521,111.5929366
S364DE,DE,BSG PV MO,0.302090545,0.302090545,DELU,74.15930852,108.51837
S365DE,DE,Kyon Kettig,30.2090545,70.08500643,DELU,81.91149953,116.270561
S366DE,DE,Speicher Wlfersheim  P23039,1.81254327,3.62508654,DELU,70.72455666,105.0836181
S367DE,DE,Sungrow and Smart Power,18.1254327,18.1254327,DELU,70.01982043,104.3788819
S368DE,DE,Speicher Test,1.510452725,0,DELU,66.33271773,100.6917792
