Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
13,1,0.659574468,0,0.639593909,0,0,0.54001554,0,0.689814815,0,0.75529661,0.682120035,0.523668639,0.313920787,0.703020134,0.255102041,0.780487805,0.909090909,0.403803545,0.495238095,0.894422311,0.336712208,0.420898438,0.351555929,0.423423423,0,0,0,0,0.695263628,0.673394495,0.603585657,0.61852861,0.451923077,0.459459459,0.429370629,0,0.522222222,0.611494253,0.525809717,0,0.610169492
14,1,0.659574468,0,0.644670051,0,0,0.538461538,0,0.694444444,0,0.73940678,0.675228668,0.523668639,0.312983361,0.718959732,0.255102041,0.780487805,0.863636364,0.404357459,0.507936508,0.885657371,0.403702071,0.51171875,0.360807401,0.448100274,0,0,0,0,0.705093834,0.673394495,0.601593625,0.613079019,0.461538462,0.468468468,0.476923077,0,0.655555556,0.63908046,0.451923077,0,0.644067797
15,1,0.680851064,0,0.634517766,0,0,0.536519037,0,0.703703704,0,0.747881356,0.68650545,0.526627219,0.344152801,0.709731544,0.255102041,0.804878049,0.909090909,0.412296898,0.514285714,0.883665339,0.568532393,0.62109375,0.361648444,0.524089307,0,0,0,0,0.750670241,0.673394495,0.599601594,0.615803815,0.461538462,0.468468468,0.422377622,0,0.655555556,0.645977011,0.436234818,0,0.644067797
16,1,0.680851064,0,0.614213198,0,0,0.531857032,0,0.722222222,0,0.756355932,0.738754542,0.585798817,0.417623623,0.709731544,0.255102041,0.780487805,0.909090909,0.42965288,0.565079365,0.889641434,0.698104892,0.696289063,0.36921783,0.590677634,0,0,0,0,0.827524576,0.673394495,0.599601594,0.613079019,0.461538462,0.45045045,0.400559441,0,0.673333333,0.622988506,0.537955466,0,0.627118644
17,1,0.680851064,0,0.598984772,0,0,0.534965035,0,0.810185185,0,0.835805085,0.773837865,0.644970414,0.530114835,0.709731544,0.255102041,0.804878049,0.909090909,0.447378139,0.603174603,0.91752988,0.717937417,0.741210938,0.470142977,0.628280454,0,0,0,0,0.858802502,0.673394495,0.597609562,0.555858311,0.461538462,0.441441441,0.396643357,0,0.666666667,0.652873563,0.537955466,0,0.661016949
18,1,0.680851064,0,0.604060914,0,0,0.528360528,0,0.824074074,0,0.877118644,0.803533392,0.644970414,0.560698383,0.709731544,0.255102041,0.804878049,0.863636364,0.460487445,0.612698413,0.934661355,0.742617893,0.750976563,0.519764508,0.628280454,0,0,0,0,0.883824844,0.673394495,0.59561753,0.61852861,0.461538462,0.45045045,0.384895105,0,0.635555556,0.618390805,0.509615385,0,0.627118644
19,1,0.680851064,0,0.604060914,0,0,0.522533023,0,0.810185185,0,0.88559322,0.825836361,0.642011834,0.570424186,0.709731544,0.255102041,0.804878049,0.863636364,0.461041359,0.619047619,0.942231076,0.72939621,0.7734375,0.50883095,0.637289463,0,0,0,0,0.865058088,0.673394495,0.591633466,0.621253406,0.461538462,0.441441441,0.395524476,0,0.644444444,0.611494253,0.509109312,0,0.610169492
20,1,0.680851064,0,0.609137056,0,0,0.520590521,0,0.810185185,0,0.880826271,0.812680115,0.636094675,0.525896414,0.669463087,0.255102041,0.804878049,0.863636364,0.45901034,0.571428571,0.943426295,0.69942706,0.7421875,0.457527334,0.605562084,0,0,0,0,0.845397676,0.673394495,0.593625498,0.623978202,0.461538462,0.441441441,0.42993007,0,0.62,0.627586207,0.545546559,0,0.627118644
21,1,0.680851064,0,0.629441624,0,0,0.522144522,0,0.814814815,0,0.874470339,0.770956021,0.624260355,0.455589407,0.431208054,0.255102041,0.804878049,0.863636364,0.437961595,0.501587302,0.94063745,0.670339357,0.705078125,0.423044575,0.526439483,0,0,0,0,0.621090259,0.673394495,0.593625498,0.632152589,0.461538462,0.45045045,0.454265734,0,0.606666667,0.517241379,0.639676113,0,0.525423729
22,1,0.680851064,0,0.634517766,0,0,0.546231546,0,0.791666667,0,0.855402542,0.755043228,0.553254438,0.422427935,0.012583893,0.255102041,0.804878049,0.863636364,0.428360414,0.479365079,0.929880478,0.559717937,0.668945313,0.381833474,0.387779083,0,0,0,0,0.402144772,0.673394495,0.59561753,0.640326975,0.461538462,0.441441441,0.440839161,0,0.724444444,0.512643678,0.712550607,0,0.508474576
23,1,0.680851064,0,0.634517766,0,0,0.517871018,0,0.694444444,0,0.77065678,0.726350081,0.547337278,0.343332552,0.048657718,0.397959184,0.804878049,0.863636364,0.408788774,0.476190476,0.917928287,0.498898193,0.53125,0.348191758,0.347826087,0,0,0,0,0.391420912,0.673394495,0.59561753,0.643051771,0.461538462,0.441441441,0.415384615,0,0.662222222,0.549425287,0.726214575,0,0.559322034
24,1,0.70212766,0,0.634517766,0,0,0.520979021,0,0.685185185,0,0.740995763,0.6735998,0.538461538,0.320248418,0,0.255102041,0.804878049,0.863636364,0.398264402,0.46031746,0.920717131,0.413397973,0.302734375,0.315391085,0.329416373,0,0,0,0,0.376228776,0.669724771,0.569721116,0.651226158,0.5,0.441441441,0.431608392,0,0.455555556,0.577011494,0.674595142,0,0.576271186
25,1,0.70212766,0,0.634517766,0,0,0.525641026,0,0.430555556,0,0.735699153,0.645783736,0.535502959,0.290602297,0,0.255102041,0.804878049,0.863636364,0.389771049,0.428571429,0.919920319,0.448215073,0.279296875,0.202691337,0.337250294,0,0,0,0,0.36282395,0.669724771,0.565737052,0.653950954,0.5,0.414414414,0.397202797,0,0.275555556,0.643678161,0.471659919,0,0.644067797
26,1,0.70212766,0,0.624365482,0,0,0.535742036,0,0.435185185,0,0.737817797,0.635885227,0.532544379,0.281931099,0,0.255102041,0.804878049,0.863636364,0.382570162,0.396825397,0.919123506,0.346408109,0.294921875,0.199327166,0.330591461,0,0,0,0,0.360142985,0.669724771,0.56374502,0.659400545,0.5,0.414414414,0.357762238,0,0.18,0.595402299,0.269230769,0,0.593220339
27,1,0.70212766,0,0.624365482,0,0,0.527972028,0,0.430555556,0,0.731461864,0.640646536,0.532544379,0.279704711,0,0.255102041,0.780487805,0.863636364,0.382939439,0.393650794,0.921115538,0.331864257,0.283203125,0.201850294,0.34351743,0,0,0,0,0.358355675,0.669724771,0.561752988,0.659400545,0.5,0.423423423,0.386853147,0,0.128888889,0.383908046,0.220647773,0,0.389830508
